policy,noise_pct,congestion,capacity,n,carbon_mean,carbon_std,avg_jct_mean,avg_jct_std,tail_jct_mean,tail_jct_std,preemptions_mean,preemptions_std,jobs_completed_mean,jobs_completed_std,carbon_ci95,avg_jct_ci95,tail_jct_ci95,preemptions_ci95,jobs_completed_ci95,carbon_per_completed_job_mean,tradeoff_score
las_proxy,15.0,high,8,30,71.19608538655707,5.3829461781099015,1.1066358137398653,0.2458969120926644,4.939444444444439,1.4377911721322891,654.7333333333333,150.49205118963715,193.13333333333333,8.771951119151403,1.9262625510901827,0.08799307990835786,0.5145069631996501,53.85288889236714,3.1390023941773815,0.3686369626504509,0.6638365030862167
las_proxy,15.0,moderate,6,30,49.060660057792674,5.807990681153481,1.093952678049125,0.21718325974114844,5.155277777777775,1.5956065208004584,439.1666666666667,147.7698777884356,125.86666666666666,6.447310764338418,2.0783627731004035,0.07771803137551732,0.5709804604385681,52.87877165121175,2.307140526704363,0.3897827864761071,0.6714507431053143
las_proxy,15.0,moderate,8,30,56.399639572498,8.244111344670928,1.135979591496195,0.2952486067544072,5.708055555555554,2.18268803894446,329.23333333333335,205.01230969489802,132.36666666666667,5.827895659334672,2.950117356706203,0.10565335703435583,0.7810648836187087,73.36271283627207,2.0854856780639746,0.4260864233631176,0.7100436906163485
las_proxy,20.0,high,6,30,57.730583203512,2.9673855282510857,1.323604982658477,0.269947805395157,5.189722222222219,1.0605228580466028,557.0666666666667,99.7413666934891,182.0,8.975061233102041,1.0618652738831686,0.09659958154444229,0.3795032308399561,35.69198968355338,3.2116844150086115,0.3172010066127033,0.7197625970310128
las_proxy,20.0,high,8,30,71.22053805836283,5.332189252812045,1.1066358137398653,0.2458969120926644,4.939444444444439,1.4377911721322891,654.7333333333333,150.49205118963715,193.13333333333333,8.771951119151403,1.9080994186391589,0.08799307990835786,0.5145069631996501,53.85288889236714,3.1390023941773815,0.3687635729635632,0.6639124692740841
las_proxy,20.0,moderate,6,30,49.00778347646863,5.8034993473401855,1.093952678049125,0.21718325974114844,5.155277777777775,1.5956065208004584,439.1666666666667,147.7698777884356,125.86666666666666,6.447310764338418,2.076755569936423,0.07771803137551732,0.5709804604385681,52.87877165121175,2.307140526704363,0.38936268651855377,0.6711986831307823
las_proxy,20.0,moderate,8,30,56.33285291624237,8.22521737657457,1.135979591496195,0.2952486067544072,5.708055555555554,2.18268803894446,329.23333333333335,205.01230969489802,132.36666666666667,5.827895659334672,2.943356237055126,0.10565335703435583,0.7810648836187087,73.36271283627207,2.0854856780639746,0.42558186539593834,0.709740955836041
q_drl,15.0,high,6,30,57.7482517155154,3.1200926600730057,1.1955719035999508,0.17746519172768782,5.315416666666663,1.1529692375512297,88.43333333333334,37.85788610355688,197.36666666666667,5.5241372135405,1.1165108191998119,0.06350510327173943,0.4125847428840094,13.547270556274581,1.9767871142384448,0.2925937428585479,0.653785007155109
q_drl,15.0,high,8,30,70.6228933519165,5.415729482300219,1.1959734840144693,0.1916613874863733,5.739583333333329,1.3191508420061429,129.9,56.756801202663105,201.66666666666666,3.9157800414902453,1.9379939058303821,0.06858514668162968,0.4720520663068826,20.310160469549484,1.401243891849112,0.35019616538140413,0.6885070928346302
q_drl,15.0,moderate,6,30,48.67793321447683,5.666279066515891,1.2410975023535757,0.25319589565336104,5.79833333333333,1.8781383696714629,94.23333333333333,45.485642549720225,129.06666666666666,3.8768395707678267,2.0276519230753784,0.09060498763115245,0.6720831841075573,16.276828145171063,1.3873092233622804,0.3771534081700168,0.7227310458434404
q_drl,15.0,moderate,8,30,55.87003000949377,8.029079350540869,1.3013983213025992,0.2750927657524714,5.86222222222222,1.533001406060475,96.16666666666667,41.1230980764132,132.2,5.7499625186184655,2.873169145842906,0.09844068196328729,0.5485775078471532,14.715711654619893,2.0575976618209473,0.42261747359677587,0.7741298126791052
q_drl,20.0,high,6,30,57.750818414403376,3.0828656263437058,1.1854581717131907,0.17346951651924483,5.3118055555555515,1.169832569874404,95.36666666666666,41.69468942727337,197.33333333333334,5.422388666498806,1.1031892962664172,0.06207526926157556,0.4186192088559737,14.920252992626654,1.940376864291812,0.2926561743973144,0.6497769733236649
q_drl,20.0,high,8,30,70.68780758386417,5.380080680336576,1.1886524450403284,0.1902940136884525,5.674305555555548,1.2006299648185421,137.6,64.0428735705419,201.6,3.891635592679112,1.9252371458811477,0.06809583825217003,0.42963991509919636,22.917447981330984,1.3926039118042195,0.35063396618980247,0.6858413577300129
